Record Number,Year,Lake,Date,SecchiDepth_m,Bottom?
31,1998,Nema,11-Aug-98,3,
45,1999,Nema,10-Aug-99,3.8,
59,2000,Nema,30-Jul-00,3.5,
71,2001,Nema,3-Aug-01,4.1,
82,2002,Nema,4-Aug-02,2.5,
95,2003,Nema,3-Aug-03,2.5,
107,2004,Nema,9-Aug-04,5,
122,2005,Nema,9-Aug-20,5.2,
136,2006,Nema,5-Aug-06,4.8,
150,2007,Nema,11-Aug-07,5,
164,2008,Nema,29-Jul-08,4,
178,2009,Nema,30-Jul-09,4.5,
192,2010,Nema,5-Aug-10,3.5,
206,2011,Nema,5-Aug-11,3.8,
,2012,Nema,7-Aug-12,4.9,
,2013,Nema,6-Aug-13,4.5,
,2014,Nema,2-Aug-14,3.3,
,2015,Nema,2-Aug-15,5.9,
,2016,Nema,4-Aug-16,3.5,
,2017,Nema,1-Aug-17,4.9,
,2018,Nema,1-Aug-18,5.6,
,2019,Nema,8-Aug-19,4.3,
,2020,Nema,7-Aug-20,2.65,
,2021,Nema,1-Aug-21,3.9,
,2007,Northeast,2-Aug-07,5.7,
,2016,Northeast,29-Jul-16,4.5,
,2017,Northeast,6-Aug-17,4.9,
,2018,Northeast,29-Jul-18,5.2,
,2019,Northeast,31-Jul-19,4.8,
,2020,Northeast,2-Aug-20,4.15,
,2021,Northeast,27-Jul-21,4.75,
,2002,Ross,6-Aug-02,3.5,
,2004,Ross,8-Aug-04,5.7,
,2016,Ross,31-Jul-16,5,
,2018,Ross,29-Jul-18,5.1,
,2019,Ross,2-Aug-19,4.8,
,2020,Ross,31-Jul-20,3.25,
,2021,Ross,9-Aug-21,4.375,
25,1997,S1,12-Aug-97,5.5,
35,1998,S1,13-Aug-98,7.5,
52,1999,S1,11-Aug-99,8.3,
6,1994,S2,20-Aug-94,9,
26,1997,S2,12-Aug-97,6.3,
36,1998,S2,13-Aug-98,4.5,
53,1999,S2,11-Aug-99,5.1,
64,2000,S2,3-Aug-00,5.5,
76,2001,S2,29-Jul-01,6,
87,2002,S2,4-Aug-02,5,
100,2003,S2,5-Aug-03,6.5,
112,2004,S2,9-Aug-04,5,
124,2005,S2,5-Aug-20,6,
138,2006,S2,4-Aug-06,7,
152,2007,S2,8-Aug-07,5.5,
166,2008,S2,7-Aug-08,5.5,
180,2009,S2,31-Jul-09,4.6,
194,2010,S2,6-Aug-10,5,
208,2011,S2,4-Aug-11,5.5,
,2012,S2,3-Aug-12,5.5,
,2013,S2,2-Aug-13,4.7,
,2014,S2,30-Jul-14,5.1,bottom
,2015,S2,3-Aug-15,6.9,bottom
,2016,S2,3-Aug-16,6.8,bottom
,2017,S2,3-Aug-17,7,bottom
,2018,S2,5-Aug-18,6.2,bottom
,2019,S2,10-Aug-19,7.2,bottom
,2020,S2,6-Aug-20,4.45,
,2021,S2,1-Aug-21,4.1,
37,1998,S3,13-Aug-98,9.5,
54,1999,S3,11-Aug-99,8,
65,2000,S3,3-Aug-00,8.2,
77,2001,S3,29-Jul-01,7.4,
88,2002,S3,4-Aug-02,8,
101,2003,S3,5-Aug-03,8,
113,2004,S3,9-Aug-04,6,
125,2005,S3,5-Aug-20,6,
139,2006,S3,4-Aug-06,8.2,
153,2007,S3,6-Aug-07,8,
167,2008,S3,7-Aug-08,8.6,
181,2009,S3,31-Jul-09,5.6,
195,2010,S3,6-Aug-10,6.5,
209,2011,S3,4-Aug-11,8,
,2012,S3,2-Aug-12,7,
,2013,S3,2-Aug-13,8.5,
,2014,S3,30-Jul-14,4.8,
,2015,S3,3-Aug-15,10.4,
,2016,S3,3-Aug-16,10.8,
,2017,S3,3-Aug-17,10.3,
,2018,S3,6-Aug-18,7,
,2019,S3,10-Aug-19,10.6,
,2020,S3,17-Aug-20,5.25,
,2021,S3,1-Aug-21,5.3,
,2013,S5,2-Aug-13,10,
,2014,S5,3-Aug-14,9,
,2015,S5,3-Aug-15,13.3,
,2016,S5,3-Aug-16,13,
,2017,S5,3-Aug-17,13,
,2018,S5,5-Aug-18,9.3,
,2019,S5,10-Aug-19,13.9,
,2020,S5,17-Aug-20,6.75,
,2021,S5,1-Aug-21,6.5,
,2013,S6,2-Aug-13,10.5,
,2014,S6,3-Aug-14,7.9,
,2015,S6,,,
,2016,S6,3-Aug-16,12.3,
,2017,S6,3-Aug-17,12.8,
,2018,S6,5-Aug-18,8.9,
,2019,S6,10-Aug-19,13.2,
,2020,S6,17-Aug-20,6.75,
,2021,S6,1-Aug-21,6.4,
5,1994,Slipper,20-Aug-94,4.5,
11,1995,Slipper,10-Aug-95,5.3,
16,1996,Slipper,26-Jul-96,4.5,
22,1997,Slipper,11-Aug-97,4.2,
32,1998,Slipper,12-Aug-98,3.5,
46,1999,Slipper,9-Aug-99,4.5,
60,2000,Slipper,31-Jul-00,4.5,
72,2001,Slipper,29-Jul-01,4,
83,2002,Slipper,6-Aug-02,3,
96,2003,Slipper,7-Aug-03,4,
108,2004,Slipper,12-Aug-04,4.6,
123,2005,Slipper,5-Aug-20,5,
137,2006,Slipper,4-Aug-06,4.7,
151,2007,Slipper,10-Aug-07,3.8,
165,2008,Slipper,29-Jul-08,5.3,
179,2009,Slipper,3-Aug-09,4.1,
193,2010,Slipper,5-Aug-10,3.8,
207,2011,Slipper,3-Aug-11,3.9,
,2012,Slipper,8-Aug-12,4,
,2013,Slipper,5-Aug-13,4,
,2014,Slipper,4-Aug-14,2.6,
,2015,Slipper,7-Aug-15,3.9,
,2016,Slipper,31-Jul-16,3.7,
,2017,Slipper,8-Aug-17,2.8,
,2018,Slipper,7-Aug-18,2.8,
,2019,Slipper,11-Aug-19,2.8,
,2020,Slipper,10-Aug-20,2.875,
,2021,Slipper,5-Aug-21,3.5,
,1999,Ulu,4-Aug-99,3.6,
,2004,Ulu,8-Aug-04,4.2,
,2016,Ulu,28-Jul-16,3.4,
,2018,Ulu,30-Jul-18,4.5,
,2019,Ulu,7-Aug-19,4.3,
,2020,Ulu,3-Aug-20,2.2,
,2021,Ulu,2-Aug-21,2.4,
,2002,Upper Exeter,8-Aug-02,4.5,
,2005,Upper Exeter,19-Aug-05,6.7,
,2006,Upper Exeter,6-Aug-06,8,
,2014,Upper Exeter,10-Aug-14,6.6,
,2015,Upper Exeter,8-Aug-15,7.3,
,2016,Upper Exeter,8-Aug-16,7.2,
,2017,Upper Exeter,8-Aug-17,7.8,
,2018,Upper Exeter,6-Aug-18,5.4,
,2019,Upper Exeter,14-Aug-19,6,
,2020,Upper Exeter,11-Aug-20,3.5,
,2021,Upper Exeter,3-Aug-21,3.4,
2,1994,Vulture,20-Aug-94,9,
9,1995,Vulture,10-Aug-95,11,
13,1996,Vulture,28-Jul-96,10,
18,1997,Vulture,5-Aug-97,7.5,
28,1998,Vulture,7-Aug-98,8,
41,1999,Vulture,6-Aug-99,9,
55,2000,Vulture,4-Aug-00,9.2,
68,2001,Vulture,2-Aug-01,10,
79,2002,Vulture,3-Aug-02,10,
91,2003,Vulture,4-Aug-03,7,
103,2004,Vulture,9-Aug-04,7,
117,2005,Vulture,30-Jul-05,9,
131,2006,Vulture,2-Aug-06,9.5,
145,2007,Vulture,12-Aug-07,8,
159,2008,Vulture,29-Jul-08,12,
173,2009,Vulture,30-Jul-09,8,
187,2010,Vulture,5-Aug-10,8,
201,2011,Vulture,5-Aug-11,10.5,
,2012,Vulture,7-Aug-12,8.5,
,2013,Vulture,1-Aug-13,16.5,
,2014,Vulture,3-Aug-14,7.6,
,2015,Vulture,31-Jul-15,7.8,
,2016,Vulture,30-Jul-16,7,
,2017,Vulture,4-Aug-17,8.4,
,2018,Vulture,2-Aug-18,8.2,
,2019,Vulture,6-Aug-19,7.1,
,2020,Vulture,4-Aug-20,8.45,
,2021,Vulture,4-Aug-21,6.85,
